geocode,block group id,name,address,preference,# jobs salary <$3333 walk (0.5 mi radius),walk_job_weight,walk_job,# jobs salary <$3333 bike (4 mi radius),bike_job_weight,bike_job,# jobs salary < $3333 driving (10 mi radius),drive_job_weight,drive_job,job_score,unemployed but in cvilian labor force,total in civilian labor force,"Unemployment rate (SOUCE: 2016 Census, by Blcok Group)",Employment Rate (100-Unemployment),employ,final_job_score,# healthcare 1600m radius,S-Curve Score,healthcare,# physicians 1600m radius,S-Curve Score,physician,final_health_score,walk score,walk_weight,walk,transit score,transit_weight,transit,bikable,bike_weight,bike,final_transport_score,# elementary,elementary_weight,elementary,# middle,middle_weight,middle,# high,high_weight,high,final_edu_score,"Crime per 100,000","Safety score (100,000-crime)",safety,park in 800m radius,park s-curve score,park_weight,park,library in 800m radius,library s-curve score,library_weight,library,grocery stores in 800m radius,groceries s-curve score,grocery_weight,grocery,amenities_score,safety weight,amenities weight,final_community_score,final_property_score,job_weight,health_weight,transport_weight,edu_weight,community_weight
48453001805,484530018051,Thurmond Heights Apartments,"8426 goldfinch court, austin, tx 78758","elderly, disabled, displacement",1453,0,7.761940147,116052,0,67.58464595,320216,1,95.0720712,95.0720712,72,888,8.108108108,91.89189189,44.72537053,69.89872087,4,0.96,92.59259259,12,1,100,96.2962963,54,0,28.57142857,55,1,64.28571429,54,0,8.888888889,64.28571429,8,0,63.63636364,6,0,45.45454545,7,0,54.54545455,0,"5,188","94,812",14.14691943,0,0,0,0,0,0,0,0,2,0.76,1,76,76,0.5,0.5,45.07345972,74.37009749,0.2,0.4,0.2,0,0.2
48453000902,484530009023,Santa Rita Courts,"2341 corta st, austin, tx 78702","elderly, disabled, displacement",1331,0,6.937782882,129260,0,81.11161181,290937,1,66.74760569,66.74760569,52,561,9.26916221,90.73083779,36.81022751,51.7789166,5,0.99,98.14814815,11,1,100,99.07407407,80,0,81.63265306,47,1,35.71428571,94,0,97.77777778,35.71428571,8,0,63.63636364,6,0,45.45454545,9,0,72.72727273,0,"2,289","97,711",82.8436019,3,0.91,0,91,0,0,0,0,6,1,1,100,100,0.5,0.5,91.42180095,75.41263028,0.2,0.4,0.2,0,0.2
48453001100,484530011002,Lakeside Apartments,"85 trinity street, austin, tx 78701","elderly, disabled, displacement",15107,0,100,147703,0,100,300695,1,76.18748186,76.18748186,25,1225,2.040816327,97.95918367,86.08733816,81.13741001,17,1,100,50,1,100,100,89,0,100,65,1,100,93,0,95.55555556,100,11,0,90.90909091,11,0,90.90909091,10,0,81.81818182,0,"1,565","98,435",100,9,1,0,100,3,1,0,100,15,1,1,100,100,0.5,0.5,100,96.227482,0.2,0.4,0.2,0,0.2
48453000902,484530009024,Chalmers Courts,"1801 e 4th st, austin, tx 78702","elderly, disabled, displacement, mobility",2434,0,14.38897521,135148,0,87.14180373,297692,1,73.28238367,73.28238367,3,541,0.5545286506,99.44547135,96.2196649,84.75102428,15,1,100,41,1,100,100,87,0,95.91836735,45,1,28.57142857,92,0,93.33333333,28.57142857,8,0,63.63636364,6,0,45.45454545,9,0,72.72727273,0,"1,835","98,165",93.60189573,5,0.99,0,99,1,0.46,0,46,8,1,1,100,100,0.5,0.5,96.80094787,82.02468014,0.2,0.4,0.2,0,0.2
48453000804,484530008042,Salina Courts,"1143 salina st, austin, tx 78702","elderly, disabled, displacement",666,0,2.445450247,141546,0,93.69431187,301242,1,76.71664893,76.71664893,53,677,7.828655835,92.17134417,46.63045377,61.67355135,5,0.99,98.14814815,15,1,100,99.07407407,83,0,87.75510204,47,1,35.71428571,95,0,100,35.71428571,9,0,72.72727273,8.5,0,68.18181818,9,0,72.72727273,0,"1,826","98,174",93.81516588,2,0.76,0,76,3,1,0,100,4,0.96,1,96,96,0.5,0.5,94.90758294,78.08871363,0.2,0.4,0.2,0,0.2
48453000804,484530008041,Rosewood Courts,"2001 rosewood ave, austin, tx 78702","elderly, disabled, displacement",543,0,1.614537594,142847,0,95.0267303,301995,1,77.44510013,77.44510013,60,644,9.316770186,90.68322981,36.48567421,56.96538717,3,0.91,83.33333333,11,1,100,91.66666667,84,0,89.79591837,48,1,39.28571429,94,0,97.77777778,39.28571429,9,0,72.72727273,8.5,0,68.18181818,9,0,72.72727273,0,"1,826","98,174",93.81516588,1,0.46,0,46,3,1,0,100,4,0.96,1,96,96,0.5,0.5,94.90758294,74.89840355,0.2,0.4,0.2,0,0.2
48453001820,484530018202,Northgate Apartments,"9120 northgate blvd, austin, tx 78758","disabled, displacement",1450,0,7.741673985,109943,0,61.328117,317724,1,92.66131373,92.66131373,48,1325,3.622641509,96.37735849,75.30371272,83.98251322,10,1,100,39,1,100,100,59,0,38.7755102,47,1,35.71428571,58,0,17.77777778,35.71428571,8,0,63.63636364,6,0,45.45454545,7,0,54.54545455,0,"5,188","94,812",14.14691943,0,0,0,0,0,0,0,0,6,1,1,100,100,0.5,0.5,57.07345972,75.35405173,0.2,0.4,0.2,0,0.2
48453001806,484530018064,Georgian Manor,"110 bolles circle, austin, tx 78753","disabled, displacement",1232,0,6.268999527,110429,0,61.82585363,319926,1,94.79152559,94.79152559,0,169,0,100,100,97.39576279,3,0.91,83.33333333,11,1,100,91.66666667,57,0,34.69387755,52,1,53.57142857,57,0,15.55555556,53.57142857,7,0,54.54545455,6,0,45.45454545,7,0,54.54545455,0,"5,785","94,215",0,0,0,0,0,0,0,0,0,4,0.96,1,96,96,0.5,0.5,48,76.46010494,0.2,0.4,0.2,0,0.2
48453002106,484530021061,Gaston Place,"1941 gaston place drive, austin, tx 78723","elderly, disabled, displacement",304,0,0,102058,0,53.25269863,311265,1,86.41288575,86.41288575,32,471,6.794055202,93.2059448,53.68353766,70.0482117,5,0.99,98.14814815,12,1,100,99.07407407,46,0,12.24489796,41,1,14.28571429,66,0,35.55555556,14.28571429,7,0,54.54545455,0,0,0,6,0,45.45454545,0,"3,391","96,609",56.72985782,0,0,0,0,1,0.46,0,46,1,0.46,1,46,46,0.5,0.5,51.36492891,66.76940061,0.2,0.4,0.2,0,0.2
48453000206,484530002063,North Loop Apartments,"2300 North Loop Boulevard, austin, tx 78756","near elderly, disabled, displacement",1662,0,9.173816118,144597,0,96.81899183,325310,1,100,100,20,903,2.214839424,97.78516058,84.90098715,92.45049358,39,1,100,50,1,100,100,75,0,71.42857143,44,1,25,92,0,93.33333333,25,11,0,90.90909091,10,0,81.81818182,11,0,90.90909091,0,"1,565","98,435",100,0,0,0,0,1,0.46,0,46,6,1,1,100,100,0.5,0.5,100,83.49009872,0.2,0.4,0.2,0,0.2
48453001304,484530013044,Goodrich Place,"2126 goodrich ave, austin, tx 78704","elderly, disabled, displacement",1878,0,10.6329798,132476,0,84.40527642,279843,1,56.0152849,56.0152849,7,605,1.157024793,98.84297521,92.1123256,74.06380525,2,0.76,55.55555556,16,1,100,77.77777778,66,0,53.06122449,47,1,35.71428571,91,0,91.11111111,35.71428571,11,0,90.90909091,11,0,90.90909091,10,0,81.81818182,0,"1,565","98,435",100,5,0.99,0,99,0,0,0,0,4,0.96,1,96,96,0.5,0.5,98,72.6667293,0.2,0.4,0.2,0,0.2
48453002004,484530020051,Manchaca Village,"3628 manchaca road, austin, tx 78704","disabled, displacement",2145,0,12.43666824,118220,0,69.80500195,266349,1,42.96120731,42.96120731,31,1467,2.113156101,97.8868439,85.59418314,64.27769523,39,1,100,50,1,100,100,72,0,65.30612245,50,1,46.42857143,84,0,75.55555556,46.42857143,8,0,63.63636364,8,0,63.63636364,7,0,54.54545455,0,"1,720","98,280",96.32701422,2,0.76,0,76,0,0,0,0,8,1,1,100,100,0.5,0.5,98.16350711,81.77395475,0.2,0.4,0.2,0,0.2
48453002402,484530024022,Shadow Bend Apartments,"6328 shadow bend, austin, tx 78745","disabled, displacement",675,0,2.506248733,50061,0,0,221940,1,0,0,18,1500,1.2,98.8,91.81935484,45.90967742,1,0.46,0,4,0.96,0,0,65,0,51.02040816,47,1,35.71428571,61,0,24.44444444,35.71428571,8,0,63.63636364,7,0,54.54545455,7,0,54.54545455,0,"4,778","95,222",23.86255924,0,0,0,0,1,0.46,0,46,4,0.96,1,96,96,0.5,0.5,59.93127962,28.31104855,0.2,0.4,0.2,0,0.2
48453001811,484530018111,Coronado Hills,"1438 coronado hills dr, austin, tx 78752","disabled, displacement",3975,0,24.79902722,100131,0,51.27916266,312009,1,87.13263036,87.13263036,21,1067,1.968134958,98.03186504,86.5828219,86.85772613,5,0.99,98.14814815,11,1,100,99.07407407,55,0,30.6122449,43,1,21.42857143,54,0,8.888888889,21.42857143,7,0,54.54545455,6,0,45.45454545,6,0,45.45454545,0,"4,410","95,590",32.58293839,0,0,0,0,1,0.46,0,46,3,0.91,1,91,91,0.5,0.5,61.79146919,73.64518298,0.2,0.4,0.2,0,0.2
48453000802,484530008023,Booker T. Washington Terraces,"905 bedford street, austin, tx 78702","disabled, displacement",317,0,0.08782003648,141229,0,93.3696565,300317,1,75.82180517,75.82180517,93,634,14.66876972,85.33123028,0,37.91090258,1,0.46,0,6,1,100,50,56,0,32.65306122,49,1,42.85714286,79,0,64.44444444,42.85714286,7,0,54.54545455,9,0,72.72727273,9,0,72.72727273,0,"3,080","96,920",64.09952607,0,0,0,0,1,0.46,0,46,2,0.76,1,76,76,0.5,0.5,70.04976303,50.16356169,0.2,0.4,0.2,0,0.2
